Id;Label;Title
"Dawe, D., P. Moya, F. Gascon, M.V. Valencia, and N. Jamora;Dawe, D., P. Moya, F. Gascon, M.V. Valencia, and N. Jamora;Can nitrogen management in the Philippine rice production be improved?"
"De Datta, S.K;De Datta, S.K;Principles and practice of rice production."
"Demont, M., and E. Tollens;Demont, M., and E. Tollens;First impact of biotechnology in the EU: Bt maize adoption in Spain."
"Diewert, W;Diewert, W;Applications of Duality Theory."
"Diewert, W;Diewert, W;Exact and superlative index numbers."
"Dobermann, A., and T.H. Fairhust;Dobermann, A., and T.H. Fairhust;Rice straw management."
"Duncan, R., and C. Tisdell;Duncan, R., and C. Tisdell;Research and technical progress: The returns to producers."
"Estudillo, J., and K. Otsuka;Estudillo, J., and K. Otsuka;Lessons from three decades of Green Revolution in the Philippines."
"Evenson, R;Evenson, R;Economic impacts of agricultural research and extension."
"Evenson, R., and J. Quizon;Evenson, R., and J. Quizon;Technology, infrastructure, output supply, and factor demand in Philippine agriculture."
"Falck-Zepeda, J., G. Traxler, and R. Nelson;Falck-Zepeda, J., G. Traxler, and R. Nelson;Surplus distribution from the introduction of a biotechnology innovation."
"Fan, S., P. Hazell, and T. Haque;Fan, S., P. Hazell, and T. Haque;Targeting public investments by agro-ecological zone to achieve growth and poverty alleviation goals in rural India."
FAO;FAO;United Nations - Food and Agriculture Organization.
"Flinn, J.C., and S.K. De Datta;Flinn, J.C., and S.K. De Datta;Trends in irrigated rice yields under intensive cropping at Philippine research stations."
"Flores-Moya, P., R.E. Evenson, and Y. Hayami;Flores-Moya, P., R.E. Evenson, and Y. Hayami;Social returns to rice research in the Philippines: Domestic benefits and foreign spillover."
"Gapasin, D.P;Gapasin, D.P;Rural growth and development revisited in the Philippines: Agricultural research, development and extension."
"Gonzales, L., et al;Gonzales, L., et al;The hybrid rice commercialization program: A midterm assessment."
"Griliches, Z;Griliches, Z;Research costs and social returns: Hybrid corn and related innovations."
"Griliches, Z., and J. Mairesse;Griliches, Z., and J. Mairesse;Production function: Search for identification."
"Hayami, Y., and M. Kikuchi;Hayami, Y., and M. Kikuchi;Three three decades of Green Revolution in a Philippine village."
"Hayashi, F;Hayashi, F;Econometrics."
"Herdt, R.W;Herdt, R.W;A retrospective view of technological and other changes in the Philippines."
"Herdt, R.W;Herdt, R.W;An overview of the constraints project results."
"Herdt, R.W;Herdt, R.W;Mechanization of rice production in developing Asian countries: Perspectives, evidences, and issues."
"Herdt, R.W., and A.M. Mandac;Herdt, R.W., and A.M. Mandac;Modern technology and economic efficiency of Philippine rice farmers."
"Herdt, R.W., and C. Capule;Herdt, R.W., and C. Capule;Adoption, spread and production impacts of modern rice varieties in Asia."
"Herdt, R.W., L. Castillo, and S. Jayasuriya;Herdt, R.W., L. Castillo, and S. Jayasuriya;The economics of insect control in the Philippines."
"Hyde, J., M.A. Martin, P.V. Preckel, and C.R. Edwards;Hyde, J., M.A. Martin, P.V. Preckel, and C.R. Edwards;The economics of Bt corn: Valuing protection from the European corn borer."
"Im, K.S., S.C. Ahn, P. Schmidt, and J.M. Wooldridge;Im, K.S., S.C. Ahn, P. Schmidt, and J.M. Wooldridge;Efficient estimation of panel data models with strictly exogenous explanatory variables."
"Inocencio, A., and R. Barker;Inocencio, A., and R. Barker;Water resources and irrigation development."
"Jones, J.W., et al;Jones, J.W., et al;Decision support system for agrotechnology transfer: DSSAT v3."
"Jones, J.W., et al;Jones, J.W., et al;The DSSAT cropping model."
"Kmenta, J., and R. Gilbert;Kmenta, J., and R. Gilbert;Small sample properties of alternative estimators of seemingly unrelated regressions."
"Korten, F., and R. Siy Jr;Korten, F., and R. Siy Jr;Transforming a bureaucracy: The experience of the Philippine National Irrigation Administration."
"Krugman, P;Krugman, P;Grains gone wild."
"Lindner, R.K., and F.G. Jarrett;Lindner, R.K., and F.G. Jarrett;Supply shifts and the size of research benefits."
"Llanto, G;Llanto, G;Infrastructure Development: Experience and Policy Options for the Future."
"Marra, M.C., P.G. Pardey, and J.M. Alston;Marra, M.C., P.G. Pardey, and J.M. Alston;The payoffs to agricultural biotechnology: An assessment of the evidence."
"Mas-Collel, A., M.D. Whinston, and J.R. Greene;Mas-Collel, A., M.D. Whinston, and J.R. Greene;Microeconomic Theory."
"McFadden, D;McFadden, D;Cost, revenue, and profit functions."
"Miller, G.Y., J.M. Rosenblatt, and L.J. Hushak;Miller, G.Y., J.M. Rosenblatt, and L.J. Hushak;The effects of supply shifts on producers' surplus."
"Morrison, C., and A. Schwartz;Morrison, C., and A. Schwartz;Distinguishing external from internal scale effects: The case of public infrastructure."
"Moschini, G., H. Lapan, and A. Sobolevsky;Moschini, G., H. Lapan, and A. Sobolevsky;Roundup Ready Soybeans and Welfare Effects in the Soybean Complex."
"Moya, P., and D. Dawe;Moya, P., and D. Dawe;Mechanization and saving labor are the keys to making rice more competitive."
"Mundlak, Y;Mundlak, Y;Production function estimation: Reviving the primal."
"Mundlak, Y., D.F. Larson, and R. Butzer;Mundlak, Y., D.F. Larson, and R. Butzer;Determinants of agricultural productivity growth in Indonesia, the Philippines and Thailand."
NIA;NIA;National Irrigation Administration.
NSCB;NSCB;National Statistical Coordination Board.
"Panganiban, D;Panganiban, D;The political crops."
"Peng, S.B., S.S. Casmann, S.S. Virmani, J.E. Sheehy, and G.S. Khush;Peng, S.B., S.S. Casmann, S.S. Virmani, J.E. Sheehy, and G.S. Khush;Yield potential trends of tropical rice since the release of IR8 and the challenge of increasing rice yield potential."
"Peterson, W;Peterson, W;Return to poultry research in the United States."
PhilRice;PhilRice;Integrated crop management for irrigated lowland rice.
PhilRice-BAS;PhilRice-BAS;Philippine Rice Statistics Handbook 1970-2002.
"Pingali, P.L;Pingali, P.L;Milestones in impact assessment in researc in the CGIAR, 1970-1999."
"Pray, C.E., D. Ma, J. Huang, and F. Qiao;Pray, C.E., D. Ma, J. Huang, and F. Qiao;Impact of Bt cotton in China."
"Ritchie, J.T., U. Singh, D.C. Godwin, and W.T. Bowen;Ritchie, J.T., U. Singh, D.C. Godwin, and W.T. Bowen;Cereal growth and development and yield."
"Rola, A, and P. Pingali;Rola, A, and P. Pingali;Pesticides, rice productivity, and health impacrs in the Philippines."
"Sarkar, R., and S. Kar;Sarkar, R., and S. Kar;Evaluation of management strategies for sustainable rice-wheat cropping system using DSSAt season analysis."
"Schmitz, A., and D. Seckler;Schmitz, A., and D. Seckler;Mechanized agriculture and social welfare: The case of the tomato harvester."
"Schultz, T.W;Schultz, T.W;Transforming traditional agriculture."
"Sebastian, L.S., F.H. Bordey, and V.L.E.B. Alpuerto;Sebastian, L.S., F.H. Bordey, and V.L.E.B. Alpuerto;Research and development."
"Teruel, R.G., and Y. Kuroda;Teruel, R.G., and Y. Kuroda;Public infrastructure and productivity growth in Philippine agriculture, 1974-2000."
"Timsina, J., and E. Humphreys;Timsina, J., and E. Humphreys;Performance of CERES-Rice and CERES-Wheat models in rice-wheat systems: A review."
"Tiongco, M, and D. Dawe;Tiongco, M, and D. Dawe;Long term evolution of productivity in a sample Philippine rice farms: Implications for sustainability and future research."
"Traxler, G., S. Godoy-Avila, J. Falck-Zepeda, and J.D. Espinoza-Arellano;Traxler, G., S. Godoy-Avila, J. Falck-Zepeda, and J.D. Espinoza-Arellano;Transgenic cotton in Mexico: Economics and environmental impact."
"Umetsu, C., T. Lekprichakul, and U. Chakravorty;Umetsu, C., T. Lekprichakul, and U. Chakravorty;Efficiency and technical change in the Philippine rice sector: A Malmquist total factor productivity analysis."
"Varian, H;Varian, H;Microeconomic Analysis, 3rd Edition."
"Von Braun, J;Von Braun, J;Rising food prices: What should be done?"
"Willmott.C.J., et al;Willmott.C.J., et al;Statistics for the evaluation and comparison of models."
"Wooldridge, J.M;Wooldridge, J.M;Econometric analysis of cross section and panel data."
World Bank ;World Bank ;Philippines: Agriculture Public Expenditure Review.
